Select a state/territory:,Select a county:,How dry or wet is it?,How much experience do you have with conditions there?,How many times in the past have you seen it like this?,Other,When was it like this in the past?,When was it most recently like this?,How localized or widespread are the conditions you are reporting?,How are crop conditions at this time?,Planting Status,Harvest Status,How are range conditions at this time?,Generator issues,Other,Description and/or caption information,photo_exists,Form Version,What is the date?,Crop production,Other crop production impact,Livestock production,Other,Municipal water supply,Other,Community hydropower,Public and community health,Other,Household,Other,Recreation or tourism,Other,Report other business or industry impact,Other,Fire,Fire - Other,Forestry,Forestry - Other,Wildlife habitat,Wildlife habitat - Other,Freshwater fish,Freshwater fish - Other,Spawning fish,Spawning fish - Other,Display Name,Conditions are normal or wet,x,y
Alabama,Cullman,Severely Dry,less than 5 years,Twice or more,,,2019,widespread across north alabama,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.84495499999997,34.17241000000006
Alabama,Bibb,Severely Dry,20 or more years,Once,,,,Pretty widespread,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc,other",Abortion in Cattle,,,,,,,,,,,,,,"needle_drop_or_sparse_canopy,dead_trees",,,,,,,,,,-86.89135626415526,32.86008036990079
Alabama,DeKalb,Severely Dry,20 or more years,Never,,,,Very widespread. ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,"more_fires_than_usual,more_intense_fires,more_fire_risk,smoke_from_distant_fire,burn_or_fireworks_bans",,"leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top",,less_water,,less_water,,,,Jessica W ,,-85.71436999999997,34.44131000000005
Alabama,Pickens,Severely Dry,20 or more years,Never,,,,"We are observing drought conditions county-wide.  It expands from central, eastern Alabama all the way to north Alabama. ",very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,"I have never seen it this dry before at this time of year. Our planted grass crop has received no water to grow, and no rain is in the forecast. ",0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,sold_livestock,erosion",,,,,,,increased_power_bill,,,,"reduced_sales,reduced_production_due_to_lack_water",,burn_or_fireworks_bans,,,,,,"less_food,less_water",,,,Greg Powell,,-88.25748277415693,33.0323342308239
Alabama,Chilton,Severely Dry,20 or more years,Never,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Had to start feeding hay early September. 2 months ahead of normal. I am having to move cows to pastures with county water supply because ponds they normally water in are dried up. Also my hay production was less than 1/3 of what a normal cutting would yield.,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,KelleyFarms ,,-86.80127891952995,32.80125690834567
Alabama,Jefferson,Severely Dry,20 or more years,Once,,2000,,"Unsure how widespread, but all my neighbors in north Jefferson County, Blount and Cullman are hurting.  ",very_poor,later_than_normal,later_than_normal,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc,other","Only about 5% of our ryegrass has come up and what has seems to have died out.  Without winter grazing, we will have a challenge for feeding our cows.","reduced_pasture_forage,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Warrior Farm,,-86.81044197168778,33.79902838063726
Alabama,Perry,Severely Dry,20 or more years,Other,We have had severe drought conditions similar to the current year but I don’t remember exact years. ,,,Widespread drought conditions ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.51416999999998,32.449580000000026
Alabama,Blount,Moderately Dry,20 or more years,Twice or more,,,2016,I speaking for a 2 mile section around my house...this is where most of the farm land I use is located.   ,,,,null,,,"it's not as dry as it was in 2016.  in 2016 the creek behind my house completely dried up.  there is still water in the deep sections of the creek but it is not ""running"".   
",0,CMOR 2022 NDMC,11/7/2023,,,,,,,,air_quality_dust_pollen,,"dry_lawn,increased_power_bill",,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,medic7301,,-86.64740138065399,33.97386863636284
Alabama,Hale,Severely Dry,10-20 years,Twice or more,,,2018,The entirety of our property 2200 acres ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.6016969827943,32.571869000127485
Alabama,Hale,Severely Dry,20 or more years,Twice or more,,,2019,Widespread throughout west central alabama,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,1,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,mortality,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,1234,,-87.59780905202753,32.53308574634576
Alabama,Perry,Severely Dry,5-10 years,Never,,,,All of Alabama,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Brooke,,-87.2943308476681,32.50076402308531
Alabama,Jackson,Severely Dry,20 or more years,Never,,,,my whole county is suffering.  we had lots of rain back in the spring.,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.09696096093252,34.75775401329516
Alabama,Jackson,Severely Dry,20 or more years,Never,,,,420 acres,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,"pastures extremely dry - began feeding hay five to six weeks early, supplemental feed",0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed",,,,,,,,,,,,,,,,,"less_water,wildlife_disease_or_mortality",,,,,,Jack & Steve Livingston,,-86.26889999999854,34.48949999999942
Alabama,Hale,Severely Dry,20 or more years,Other,Never this dry at this point in the year. ,,,Widespread ,,,,null,,,No grass. Creeks dry or nearly dry. Feeding hay for the last 60 days.,1,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Bruce thomas,,-87.53239339830387,32.602618434328036
Alabama,Dallas,Severely Dry,20 or more years,Once,,2001,,all across the county,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.16841620726906,32.3811937909637
Alabama,Lauderdale,Severely Dry,20 or more years,Twice or more,,,2017,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.979711084845,34.92197639088293
Alabama,Limestone,Severely Dry,20 or more years,Once,,2008,,seems to be widespread .pastures are gone. expect they will have to be replanted. ponds are getting real low. one is about a week from being totally dry.,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,arrow t farm,,-86.97728500499994,34.814892035000064
Alabama,Lauderdale,Severely Dry,20 or more years,Twice or more,,,2020,Lauderdale County (Lexington),,,,null,,,Ponds are extremely low streams are dry and already putting out hay because grass is gone!,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Mill Creek Cattle ,,-87.68056503505082,34.73060962281571
Alabama,Wilcox,Severely Dry,10-20 years,Once,,2012,,Entire area,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,,,-86.89047304561348,32.01353074406239
Alabama,Covington,Severely Dry,20 or more years,Other,Probably 10 or more,,,"At least 10-12 counties, pretty much the entire state",very_poor,normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Calvin Wyatt Sasser,,-86.31446618688548,31.389419634712304
Alabama,Hale,Severely Dry,20 or more years,Never,,,,Hale County and surrounding counties ,poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Pasture grass is very little and having to supplement with purchased feeds. Hay field with nitrogen applied has had no growth. Ryegrass planted for winter grazing has had no rain and yet to come up. ,0,CMOR 2022 NDMC,11/7/2023,reduced_yield,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,more_fire_risk,,,,,,,,,,Keith Glover Farm,,-87.57528271600754,32.68752682324438
Alabama,Dallas,Severely Dry,20 or more years,Twice or more,,,2016,Widespread,very_poor,later_than_normal,earlier_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,crop_disease,plant_stress,increased_irrigation,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,more_invasive_species_plants,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fire_risk,,,,less_water,,,,,,,,-87.23957138751904,32.42669853237491
Alabama,Randolph,Moderately Dry,10-20 years,Twice or more,,,2016,We have not had any significant rainfall in over a month. All fall grazing grass is dying and we are prematurely feeding hay. ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Triple P Farm,,-85.41108657061619,33.42625539204775
Alabama,Bullock,Moderately Dry,20 or more years,Twice or more,,,,Fairly widespread.  Across multiple counties at least.  We have had only about 3.6 inches of rain since Sept 1 and most of that came in one rain.,,,,null,,,Creeks are dry and grass is dried up early for sure.  Cannot plant winter grazing until we get rain.,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,AAF,,-85.71343999999995,32.14520500000003
Alabama,Hale,Severely Dry,20 or more years,Never,,,,"County Wide, especially in West Alabama",,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,animal_stress,mortality,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-87.57691999318868,32.69082501190287
Alabama,Hale,Severely Dry,20 or more years,Twice or more,,,2016,Wide spread especially in the West Alabama Area,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-87.52083299100438,32.75957099290545
Alabama,Chilton,Severely Dry,20 or more years,Twice or more,,,2020,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.53853630020217,32.868680377975565
Alabama,Mobile,Moderately Dry,20 or more years,Never,,,,All of north mobile county,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress",,,,,,,,,,,,,,,,,,,,,,,Camelot Farms,,-88.27372967368223,30.85199331903845
Alabama,Morgan,Moderately Dry,20 or more years,Once,,2016,,Widespread within our area.,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,JTH,,-86.59593699807112,34.314792013873706
Alabama,Hale,Severely Dry,10-20 years,Twice or more,,,2019,West  central alabama,very_poor,later_than_normal,,null,,,Having to feed hay now. Ground is severely cracking . Cannot plant winter grazing. ,1,CMOR 2022 NDMC,11/7/2023,"reduced_yield,erosion,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,Audrey14,,-87.60232583627665,32.57265814117347
Alabama,Monroe,Severely Dry,20 or more years,Never,,,,the whole area of southwest alabama,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.6147958229253,31.286650652797217
Alabama,Lawrence,Severely Dry,20 or more years,Never,,,,,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,Allen Pickens,,-87.46356699031944,34.42901199889789
Alabama,Mobile,Moderately Dry,20 or more years,Never,,,,At least 100 mile radius,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,,,,,,,Anthony F,,-88.38250618334688,30.45827853580352
Alabama,Dallas,Severely Dry,20 or more years,Twice or more,,,2008,County wide. Extremely dry. The drought monitor is garbage and doesn't do a good job for us in rural areas.,,,,null,,,Cracked ground,1,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Srfarms27,,-87.02226389999853,32.43206169999945
Alabama,Marengo,Severely Dry,20 or more years,Twice or more,,,,Even trees are dying all around the area.,,,,null,,,Cattle and goats are out of foliage and I am having to supplement them with expensive feed.,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Ttttttttt,,-87.64107616709465,32.13700609952802
Alabama,Tallapoosa,Moderately Dry,20 or more years,Twice or more,,,2014,Pastures dry.,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,"more_fire_risk,burn_or_fireworks_bans",,,,,,"less_water,reduced_streamflow",,,,Jennifer lee,,-85.71518102926909,33.07558898491579
Alabama,Etowah,Severely Dry,10-20 years,Never,,,,Northcentral Alabama,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,no,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,more_invasive_species_plants,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,"water_quality_issues,broken_pipelines,water_rate_change",,,"air_quality_dust_pollen,less_food_for_subsistence,garden_needs_more_water_or_yields_less,stress",,"reduced_outdoor_water_use,reduced_indoor_water_use,dry_lawn,increased_power_bill",,,,reduced_production_due_to_lack_water,,more_fire_risk,,"leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,leaf_drop_or_sparse_canopy,needle_drop_or_sparse_canopy,excessive_cone_production,dead_trees,change_in_fruit_nut_berry_production,more_pests_diseases",,"less_food,less_water",,"less_water,reduced_streamflow,warmer_water_temperatures",,,,Jmsptnm,,-86.04136999999999,33.954802177987105
Alabama,Pickens,Severely Dry,10-20 years,Twice or more,,,2016,"Pickens County, AL",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,mortality,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,Anthony D. Fuller,,-88.26619612514243,33.053323220513064
Alabama,Chilton,Moderately Dry,20 or more years,Twice or more,,,,Widespread ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,,,-86.58807996967252,32.7871549980655
Alabama,Jackson,Severely Dry,20 or more years,Other,3,,,Widespread ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,"less_food,less_water",,,,,,Cbh,,-86.17457767901335,34.64925317238665
Alabama,Calhoun,Mildly Dry,less than 5 years,Once,,2022,,County wide ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.68602199999854,33.80099579999943
Alabama,Morgan,Moderately Dry,20 or more years,Twice or more,,,2021,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Wigginton Farm,,-86.76264478638542,34.43810872437176
Alabama,Jackson,Severely Dry,20 or more years,Once,,2017,,Several counties ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,decreased_stock_weights,less_water_in_ponds_creeks_etc,hauled_water,sold_livestock",,hauling_water,,,,,reduced_outdoor_water_use,,,,,,more_fire_risk,,,,"less_food,less_water",,"less_water,fish_disease_or_mortality",,,,,,-86.86308630405675,34.059209663613174
Alabama,Shelby,Severely Dry,20 or more years,Twice or more,,,2008,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Jared Lawley,,-86.86678840840555,33.215097339528036
Alabama,Marshall,Severely Dry,20 or more years,Once,,2016,,Widespread. ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,sold_livestock",,,,,,,,,,,,,burn_or_fireworks_bans,,,,,,,,,,StanleyFarms,,-86.27470809999853,34.24706159999942
Alabama,Chilton,Severely Dry,20 or more years,Never,,,,Miles,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,,,-86.83715107589956,32.96177421612534
Alabama,,Severely Dry,10-20 years,Never,,,,,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Guy Clark ,,-86.27086213882332,31.076049564975733
Alabama,Escambia,Severely Dry,20 or more years,Never,,,,"Surrounding counties are experiencing the same extreme dry conditions. Alabama, Mississippi and Louisiana are in the same situation.",,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,The early use of hay and supplemental feeding will result in purchasing more feed for an extended season. The drought will delay planting of winter grazing. Increased use of water supply is more expensive. Pasture grass is non existent for cattle to graze and the surrounding pine forests are showing many dead trees throughout our communities.,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,"dead_branch_tips_and_or_dead_top,dead_trees",,,,,,,,Scotty White,,-87.30291189691067,31.22561025928808
Alabama,Chilton,Moderately Dry,20 or more years,Twice or more,,,2013,Through out the county ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,Greg Gay,,-86.83100468682885,32.932330187419325
Alabama,Jackson,Severely Dry,20 or more years,Never,,,,Seems to be everyone in the county is having issues with pasture growth and water sources ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.19884707433843,32.6114978787397
Alabama,Conecuh,Severely Dry,10-20 years,Never,,,,"Lower western part of the state, from conecuh back southwest ",,,,null,,,I do not have a photo that shows the conditions.  ,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,M.Simmons,,-86.95265101592636,31.272524558531643
Alabama,Hale,Severely Dry,20 or more years,Twice or more,,,2017,Wide spread about1400 acres,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,"No/Very Little rain (1/2 inch) since before Labor Day. At present time,we are already having to supplement hay and feed. Generally, we begin feeding in Mid December. 
At this rate, none of Our hay will be left to feed for the upcoming winter months. 
This has stressed our cattle and cause them to also lose weight. 
In the winter when calving begins, the herd will be extremely hungry due to this Drought. 
*** The LAST SET OF
PHOTOS Provided is from Last Year (2022) /Same
Pastures",1,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,BC11201963,,-87.53300519999999,32.594355000000064
Alabama,Blount,Severely Dry,10-20 years,Once,,2016,,Fairly widespread ,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,John Hannah,,-87.00799197172287,34.438405522462
Alabama,Elmore,Moderately Dry,less than 5 years,Never,,,,,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.0116327674037,32.63235994677415
Alabama,Dallas,Severely Dry,20 or more years,Never,,,,All of Alabama ,very_poor,later_than_normal,later_than_normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,less_water_in_ponds_creeks_etc,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,mortality",,,,,,,,,,,,,burn_or_fireworks_bans,,,,,,,,,,,,-87.106495861,32.32588515100008
Alabama,Cullman,Severely Dry,less than 5 years,Never,,,,All over ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,less_water_in_ponds_creeks_etc",,water_rate_change,,,,,,,,,,,,,,,,,,,,,DC Family Farm,,-86.68708894675352,34.26121380690522
Alabama,Lawrence,Moderately Dry,10-20 years,Once,,2015,,County wide,,,,Poor - Pastures are providing marginal feed; supplemental feeding required.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fire_risk,,,,,,,,,,,,-87.30163105964975,34.607735220949856
Alabama,Geneva,Severely Dry,20 or more years,Once,,,,Entire Geneva County,poor,later_than_normal,normal,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,Hay production reduced by one third this summer. ,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,less_water_in_ponds_creeks_etc",,"feeding_hay_early,sold_livestock",,,,,,,,,,,,,,,,,,,less_water,,,,JJB Brangus,,-85.99391439037147,31.065333894354172
Alabama,,Severely Dry,20 or more years,Twice or more,,,2020,Statewide,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,animal_stress,mortality,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,,,,,,,,,,,Ltd cattle,,-87.10776400151731,34.27925601335092
Alabama,Escambia,Severely Dry,5-10 years,Never,,,,Several counties ,,,,null,,,,0,CMOR 2022 NDMC,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,-87.46290095214928,31.220073583119373
Alabama,Blount,Severely Dry,20 or more years,Twice or more,,,2018,Widespread,very_poor,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,less_water_in_ponds_creeks_etc,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,decreased_stock_weights,less_water_in_ponds_creeks_etc,sold_livestock",,,,,,,,,,,,,,,,,,,,,,,,,-86.75546999999993,33.893460000000054
Alabama,Pickens,Moderately Dry,20 or more years,Twice or more,,,,Conditions are widespread ,poor,later_than_normal,later_than_normal,Poor - Pastures are providing marginal feed; supplemental feeding required.,no,,,0,CMOR 2022 NDMC,11/7/2023,"reduced_yield,plant_stress,less_water_in_ponds_creeks_etc",,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,less_water_in_ponds_creeks_etc",,,,,air_quality_dust_pollen,,"increased_lawn_landscape_watering,dry_lawn,increased_power_bill",,,,,,"more_fires_than_usual,more_fire_risk,burn_or_fireworks_bans",,"dead_branch_tips_and_or_dead_top,leaf_drop_or_sparse_canopy,dead_trees,fewer_saplings_or_reduced_survival,reduced_diameter_growth_compressed_rings,more_pests_diseases",,"less_food,less_water",,less_water,,,,Brian Lewis,,-88.11574144885725,33.152562062784845
Alabama,Perry,Severely Dry,20 or more years,Never,,,,Widespread ,,,,Very Poor - Pastures provide very little or no feed. Supplemental feeding is required to maintain livestock condition.,,,,0,CMOR 2022 NDMC,11/7/2023,,,"reduced_pasture_forage,feeding_hay_early,supplemental_feed,purchased_hay,decreased_stock_weights,animal_stress,less_water_in_ponds_creeks_etc",,,,,,,,,,,,,more_fire_risk,,"change_in_timing_of_plant_growth,leaves_discolored_shriveled_burnt,dead_branch_tips_and_or_dead_top,leaf_drop_or_sparse_canopy,needle_drop_or_sparse_canopy,dead_trees",,,,,,,,,,-87.31654752052167,32.77615047965098
